CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
E-002;2,12E+11;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-003;2,12E+11;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-004;2,12E+11;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-005;2,12E+11;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-006;2,11E+11;COLEGIO CAMPESTRE JAIME GARZON (IED);ESPECIAL;NA;NA
E-007;2,11E+11;COLEGIO CAMPESTRE JAIME GARZON (IED);ESPECIAL;NA;NA
E-010;2,12E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-011;2,12E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-012;2,12E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-014;2,12E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-021;2,12E+11;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-038;2,12E+11;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-040;1,11E+11;COLEGIO NUEVO HORIZONTE (IED);ESPECIAL;NA;NA
E-041;1,11E+11;COLEGIO NUEVO HORIZONTE (IED);ESPECIAL;NA;NA
E-042;2,12E+11;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-043;2,12E+11;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-046;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-047;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-048;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-049;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-050;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-052;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-055;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-056;2,12E+11;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-057;2,12E+11;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-058;2,12E+11;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-060;2,12E+11;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-061;2,12E+11;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-062;2,11E+11;COLEGIO CAMPESTRE JAIME GARZON (IED);ESPECIAL;NA;NA
R-001;2,11E+11;COLEGIO EL VERJON (IED);RURAL;NA;NA
R-002;2,11E+11;COLEGIO EL VERJON (IED);RURAL;NA;NA
R-003;2,11E+11;COLEGIO EL VERJON (IED);RURAL;NA;NA
R-004;2,11E+11;COLEGIO EL VERJON (IED);RURAL;NA;NA
R-005;2,11E+11;COLEGIO EL VERJON (IED);RURAL;NA;NA
R-008;2,11E+11;COLEGIO EL VERJON (IED);RURAL;NA;NA
R-009;2,11E+11;COLEGIO EL VERJON (IED);RURAL;NA;NA
R-011;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
J-4129-06-V1;1,11E+11;COLEGIO NUEVA ESPERANZA (IED);COMPLEMENTARIA;PARQUE VILLA ALEMANA;CL 100 BIS SUR 1 17
R-013;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-016;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-017;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-019;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-020;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-023;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-025;2,12E+11;COLEGIO EL DESTINO (IED);RURAL;NA;NA
J-4129-07-V1;1,11E+11;COLEGIO NUEVA ESPERANZA (IED);COMPLEMENTARIA;PARQUE VILLA ALEMANA;CL 100 BIS SUR 1 17
J-4129-08-V1;1,11E+11;COLEGIO NUEVA ESPERANZA (IED);COMPLEMENTARIA;PARQUE VILLA ALEMANA;CL 100 BIS SUR 1 17
J-4129-08-V2;1,11E+11;COLEGIO NUEVA ESPERANZA (IED);COMPLEMENTARIA;PARQUE VILLA ALEMANA;CL 100 BIS SUR 1 17
J-4129-09-V1;1,11E+11;COLEGIO NUEVA ESPERANZA (IED);COMPLEMENTARIA;PARQUE VILLA ALEMANA;CL 100 BIS SUR 1 17
J-4130-01-V1;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-01-V2;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-01-V3;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-01-V4;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-01-V5;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-01-V6;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-01-V7;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-01-V8;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME  IDARTES;AK 1A 100 45
J-4130-02-V1;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME IDARTES;AK 1A 100 45
J-4130-02-V2;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME IDARTES;AK 1A 100 45
J-4130-02-V3;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME IDARTES;AK 1A 100 45
J-4130-02-V4;1,11E+11;COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED);COMPLEMENTARIA;CREA CANTARRANA USME IDARTES;AK 1A 100 45
J-4200-02-V1;1,11E+11;COLEGIO LOS COMUNEROS - OSWALDO GUAYASAMIN (IED);COMPLEMENTARIA;CREA CANTARRANA;TV 13 100 55 SUR
