CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
E-002;212000000000;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-003;212000000000;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-004;212000000000;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-005;212000000000;COLEGIO EL UVAL (IED);ESPECIAL;NA;NA
E-006;211000000000;COLEGIO CAMPESTRE JAIME GARZON (IED);ESPECIAL;NA;NA
E-007;211000000000;COLEGIO CAMPESTRE JAIME GARZON (IED);ESPECIAL;NA;NA
E-010;212000000000;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-011;212000000000;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-012;212000000000;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-014;212000000000;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);ESPECIAL;NA;NA
E-021;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-038;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-040;111000000000;COLEGIO NUEVO HORIZONTE (IED);ESPECIAL;NA;NA
E-041;111000000000;COLEGIO NUEVO HORIZONTE (IED);ESPECIAL;NA;NA
E-042;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-043;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);ESPECIAL;NA;NA
E-046;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-047;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-048;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-049;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-050;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-052;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-055;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-056;212000000000;COLEGIO RURAL PASQUILLA (IED);ESPECIAL;NA;NA
E-057;212000000000;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-058;212000000000;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-060;212000000000;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-061;212000000000;COLEGIO RURAL QUIBA ALTA (IED);ESPECIAL;NA;NA
E-062;211000000000;COLEGIO CAMPESTRE JAIME GARZON (IED);ESPECIAL;NA;NA
