Código Ruta;Dane_IED2;IED
E-002;211850000981;COLEGIO EL UVAL (IED)
E-003;211850000981;COLEGIO EL UVAL (IED)
E-004;211850000981;COLEGIO EL UVAL (IED)
E-005;211850000981;COLEGIO EL UVAL (IED)
E-006;211001076346;COLEGIO CAMPESTRE JAIME GARZON (IED)
E-007;211001076346;COLEGIO CAMPESTRE JAIME GARZON (IED)
E-010;211850001473;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED)
E-011;211850001473;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED)
E-012;211850001473;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED)
E-014;211850001473;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED)
E-021;211850001317;COLEGIO RURAL JOSE CELESTINO MUTIS (IED)
E-038;211850001317;COLEGIO RURAL JOSE CELESTINO MUTIS (IED)
E-040;111001086681;COLEGIO NUEVO HORIZONTE (IED)
E-041;111001086681;COLEGIO NUEVO HORIZONTE (IED)
E-042;211850001317;COLEGIO RURAL JOSE CELESTINO MUTIS (IED)
E-043;211850001317;COLEGIO RURAL JOSE CELESTINO MUTIS (IED)
E-046;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-047;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-048;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-049;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-050;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-052;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-055;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-056;211850001121;COLEGIO RURAL PASQUILLA (IED)
E-057;211850001171;COLEGIO RURAL QUIBA ALTA (IED)
E-058;211850001171;COLEGIO RURAL QUIBA ALTA (IED)
E-059;211850001171;COLEGIO RURAL QUIBA ALTA (IED)
E-060;211850001171;COLEGIO RURAL QUIBA ALTA (IED)
E-061;211850001171;COLEGIO RURAL QUIBA ALTA (IED)
E-062;211001076346;COLEGIO CAMPESTRE JAIME GARZON (IED)
J-4003-01-V1;111001024830;COLEGIO FRANCISCO PRIMERO S.S. (IED)
J-4004-01-V1;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-01-V2;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-01-V3;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-01-V4;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-02-V1;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-02-V2;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-02-V3;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-03-V1;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-03-V2;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-03-V3;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-03-V4;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
J-4004-04-V1;111001029912;COLEGIO JUAN FRANCISCO BERBEO (IED)
