Sentidos;CodRuta;Id Localid;Localidad;SegOpe;Proveedor;TipoRuta;VehCod;VehTip;VehMRed;TipoEst;IEDDANE;IED;Sede;Jornada;Zona;HoraIniR1;HoraFinJE;HoraIniR2;NumHoras1;NumHoras2;NumHorasT;Lunes;Martes;Mc;Jueves;Viernes;Sabado;Domingo;TipoPob;Hora_IniJE;Min_Ini;Min_Fin;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;id_3;left;top;right;bottom;row_index;col_index;Dias_op;KM_Ruta;Zona
R1;E-010;20;SUMAPAZ;2_CV_2025;CONSORCIO RUTAS SEGURAS;ESPECIAL;14;VAN-FDS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;FIN DE SEMANA;RURAL-S;6:00;16:00;16:05;2;2;4;0;0;0;0;0;1;1;GENERAL;8:00;360;480;-1;1640;0;1640;20915,28363;67,48661618;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;2;41,83;0
R1;E-011;20;SUMAPAZ;2_CV_2025;CONSORCIO RUTAS SEGURAS;ESPECIAL;14;VAN-FDS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;FIN DE SEMANA;RURAL-S;6:30;15:55;16:00;2;2;4;0;0;0;0;0;1;1;GENERAL;7:50;390;470;-1;1109;0;1109;26586,09437;34,19426507;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;2;53,172;0
R1;E-012;20;SUMAPAZ;2_CV_2025;CONSORCIO RUTAS SEGURAS;ESPECIAL;14;VAN-FDS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;FIN DE SEMANA;RURAL-S;6:40;16:00;16:05;2;2;4;0;0;0;0;0;1;1;GENERAL;7:50;400;470;-1;1031;0;1031;17824,08214;38,79889661;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;2;35,648;0
R1;S-015;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;11;BUSETA;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;ÚNICA;RURAL;6:15;14:55;15:00;1;1;2;1;1;1;1;1;0;0;GENERAL;7:15;375;435;-1;883;0;883;10507,82695;48,23534119;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;21,016;0
R1;S-017;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;11;BUSETA;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A/M/N;ÚNICA;RURAL;6:10;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:15;370;435;-1;358;0;358;12256,44052;51,98126905;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;24,512;0
R1;S-018;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;11;BUSETA;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A/J;ÚNICA;RURAL;5:15;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:15;315;435;-1;1135;0;1135;26386,49531;215,3526399;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;52,772;0
R1;S-022;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;10;BUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;ÚNICA;RURAL;5:50;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:15;350;435;-1;972;0;972;20116,31343;140,0941856;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;61,606;0
R1;S-025;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;10;BUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;ÚNICA;RURAL;5:50;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:15;350;435;-1;1640;0;1640;20915,28363;67,48661618;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;41,83;0
R1;S-026;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;ÚNICA;RURAL;6:00;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:15;360;435;-1;618;0;618;13299,20609;34,95898723;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;26,598;0
R1;S-029;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;11;BUSETA;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A/I/J;ÚNICA;RURAL;5:50;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:30;350;450;-1;1732;0;1732;23440,03987;215,5558844;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;46,817;0
